shift,cost
-32,5000000.0
-31,5000000.0
-30,5000000.0
-29,5000000.0
-28,5000000.0
-27,5000000.0
-26,5000000.0
-25,5000000.0
-24,5000000.0
-23,5000000.0
-22,5000000.0
-21,4999999.999999998
-20,4999999.999999959
-19,4999999.999999083
-18,4999999.999982289
-17,4999999.999708753
-16,4999999.995918696
-15,4999999.951264065
-14,4999999.504078996
-13,4999995.699800711
-12,4999968.225586222
-11,4999799.93118792
-10,4998926.519590712
-9,4995091.805826162
-8,4980876.72673598
-7,4936508.49681798
-6,4820368.758929974
-5,4566927.093627439
-4,4110280.6382965203
-3,3442392.7773791305
-2,2676323.0389851145
-1,2046027.2603271105
0,1799996.260696271
1,2046000.0616377408
2,2676149.1084841196
3,3441459.319702623
4,4106012.6436160062
5,4550298.160369779
6,4765158.756163829
7,4780307.417627382
8,4604291.590773232
9,4221422.795869447
10,3644485.459528182
11,2979211.306287215
12,2431296.6530321045
13,2217387.004148537
14,2431327.9315248793
15,2979411.3263633596
16,3645558.935856166
17,4226330.989752039
18,4623414.864019541
19,4843798.920808449
20,4944789.9972330155
21,4983371.066726938
22,4995732.005066227
23,4999066.538774532
24,4999826.027119931
25,4999972.370074975
26,4999996.2606962705
27,4999999.568764345
28,4999999.957620926
29,4999999.99645104
30,4999999.999746742
31,4999999.9999846
32,4999999.999999202
