shift,cost
-32,4999999.999999426
-31,4999999.999988931
-30,4999999.99981797
-29,4999999.997449185
-28,4999999.969540041
-27,4999999.690049373
-26,4999997.312375445
-25,4999980.140991388
-24,4999874.95699245
-23,4999329.074744195
-22,4996932.378641351
-21,4988047.954209986
-20,4960317.810511218
-19,4887730.4743308155
-18,4729329.433509064
-17,4443925.398802365
-16,4026495.483998752
-15,3547701.877116683
-14,3153766.811305725
-13,2999995.699800711
-12,3153735.53281295
-11,3547501.8570405385
-10,4025422.0076707685
-9,4439017.204919774
-8,4710206.160262755
-7,4824238.971149723
-6,4780686.569441458
-5,4554975.0478417585
-4,4107213.0170091004
-3,3441721.85312147
-2,2676198.0078966795
-1,2046007.522603527
0,1799994.6247508894
1,2046007.522603527
2,2676198.0078966795
3,3441721.85312147
4,4107213.0170091004
5,4554975.0478417585
6,4780686.569441458
7,4824238.971149723
8,4710206.160262755
9,4439017.204919774
10,4025422.0076707685
11,3547501.8570405385
12,3153735.53281295
13,2999995.699800711
14,3153766.811305725
15,3547701.877116683
16,4026495.483998752
17,4443925.398802365
18,4729329.433509064
19,4887730.4743308155
20,4960317.810511218
21,4988047.954209986
22,4996932.378641351
23,4999329.074744195
24,4999874.95699245
25,4999980.140991388
26,4999997.312375445
27,4999999.690049373
28,4999999.969540041
29,4999999.997449185
30,4999999.99981797
31,4999999.999988931
32,4999999.999999426
